age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,past_num_of_claims,witness_present,liab_prct,police_report,age_of_vehicle,vehicle_price,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported,accident_site_Local,accident_site_Parking Lot,channel_Online,channel_Phone,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white,claim_day_of_week_Mon,claim_day_of_week_Sat,claim_day_of_week_Sun,claim_day_of_week_Thu,claim_day_of_week_Tue,claim_day_of_week_Wed,vehicle_category_Large,vehicle_category_Medium
39,1,1,73,58612.8,1,0,0,0,0,25,0,8.0,24360.59,26633.28,5196.55,1000,1406.91,8.64,5,0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
33,1,1,72,35936.0,0,1,0,0,1,45,0,2.0,23457.35,26707.46,7957.27,2000,1415.74,10.01,5,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
31,1,1,76,84940.8,1,1,0,0,0,100,0,7.0,19752.43,15279.39,3014.11,1000,1199.44,8.26,3,0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
53,0,1,93,73526.4,0,1,0,0,0,100,0,1.0,32910.34,20909.28,5671.6,500,708.64,9.24,4,0,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
41,1,1,87,59403.2,1,0,0,0,0,25,0,6.0,28570.38,34493.98,4064.57,1000,1187.96,10.26,2,0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
42,0,0,68,29779.2,1,0,0,0,1,84,1,4.0,12689.88,6535.97,2812.37,2000,972.18,9.44,2,1,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
50,1,1,89,62611.2,1,1,1,0,0,10,0,6.0,53451.42,7131.38,5712.28,2000,1104.5,8.59,3,0,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
42,0,1,68,79776.0,1,0,0,1,0,77,1,2.0,17740.7,28271.74,9218.58,1000,1088.34,10.21,2,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
30,0,1,79,34419.0,1,1,0,0,0,61,0,7.0,28091.43,15488.99,3973.69,1000,988.45,7.04,3,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
49,0,0,57,62248.0,1,0,0,0,0,18,1,10.0,23264.33,33770.8,4264.4,2000,1155.55,9.49,5,0,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False
70,1,1,58,67980.8,1,0,0,0,0,50,0,5.0,29214.54,19172.69,2417.92,500,1451.62,7.45,4,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
